Plot,Essn___,DBH,miniplot,size,DBH_final
19B,Acer negundo ,2/3/1.2,19.6,400,3.8
19B,Acer negundo ,2.6/2.2/2.5,19.6,400,4.22
19B,Acer negundo ,4.4/2.1/1.3,19.6,400,5.05
19B,Fraxinus americana,2.2/1.5,19.6,400,2.66
19B,Acer negundo ,2/1.8/4/2.9,19.6,400,5.63
19B,Acer negundo ,2.9/3./2.1,19.6,400,4.67
19B,Acer negundo ,2.9/3.3/4/3.5/2.7,19.6,400,7.41
19B,Acer negundo ,16.3,19.6,400,16.3
19B,Acer negundo ,2/5/1.5/1.7,19.6,400,5.84
19B,Acer negundo ,2.7/2.3,19.6,400,3.55
19B,Acer negundo ,5.2/2,19.6,400,5.57
19B,Acer negundo ,5.4/5.6,19.6,400,7.78
19B,Acer negundo ,4.5/3.5,19.6,400,5.7
19B,Acer negundo ,3.8/3.6,19.6,400,5.23
19B,Acer negundo ,2.6/2,19.6,400,3.28
19B,Acer negundo ,5.6,19.6,400,5.6
19B,Populus deltoïdes ,8.2,19.5,400,8.2
19B,Populus deltoïdes ,15.8,19.5,400,15.8
19B,Populus deltoïdes ,8.5,19.5,400,8.5
19B,Ulmus americana,6.7,19.5,400,6.7
19B,Populus deltoïdes ,6.1,19.5,400,6.1
19B,Populus deltoïdes ,7.2,19.5,400,7.2
19B,Populus deltoïdes ,5,19.5,400,5
19B,Acer negundo ,5/1.6/2.4/2.1/1.8,19.5,400,6.4
19B,Acer negundo ,2.6/2.2/2.4/1.4,19.5,400,4.4
20C,Pinus strobus,25.6,20.4,400,25.6
20C,Acer platanoides,8.1,20.4,400,8.1
20C,Malus sylvestris,12.7,20.4,400,12.7
20C,Pinus resinosa,23.4,20.4,400,23.4
20C,Crataegus,5,20.4,400,5
20C,Acer platanoides,5.5,20.4,400,5.5
20C,Acer platanoides,8.1,20.4,400,8.1
20C,Rhamnus cathartica,5.6,20.4,400,5.6
20C,Pinus strobus,34.4,20.4,400,34.4
20C,Rhamnus cathartica,5.8,20.4,400,5.8
20C,Acer platanoides,10.4,20.4,400,10.4
20C,Pinus resinosa,23.7,20.4,400,23.7
20C,Larix decidua,32.4,20.4,400,32.4
20C,Rhamnus cathartica,6.2,20.4,400,6.2
20C,Larix decidua,36.9,20.4,400,36.9
20C,Rhamnus cathartica,8.9,20.4,400,8.9
